,tweet_id,retweets,favorites
215,849336543269576704,1830,11131
216,849051919805034497,8169,41241
217,848690551926992896,4174,24559
218,848324959059550208,4467,24094
219,848213670039564288,700,7972
220,848212111729840128,2921,15926
221,847978865427394560,3152,0
222,847971574464610304,420,0
223,847962785489326080,4898,22964
224,847842811428974592,1281,5309
225,847617282490613760,401,6827
226,847606175596138505,3327,18351
227,847251039262605312,4190,20045
228,847157206088847362,5678,19442
229,847116187444137987,3085,20999
230,846874817362120707,3795,19642
231,846514051647705089,11170,43591
232,846505985330044928,2968,13800
233,846153765933735936,8755,30881
234,846139713627017216,9745,30390
235,846042936437604353,2777,15647
236,845812042753855489,8414,28601
237,845677943972139009,4669,24697
238,845397057150107648,1738,7477
239,845306882940190720,5229,22861
240,845098359547420673,7438,0
241,844979544864018432,2474,13385
242,844973813909606400,3092,14778
243,844580511645339650,3035,16162
244,844223788422217728,2134,13418
245,843981021012017153,2873,14894
246,843856843873095681,4499,21050
247,843604394117681152,2668,16588
248,843235543001513987,5870,21135
249,842846295480000512,3542,15022
250,842765311967449089,1243,6617
251,842535590457499648,3417,17801
252,842163532590374912,5638,24028
253,842115215311396866,2956,13746
254,841833993020538882,14673,0
255,841680585030541313,7631,25331
256,841439858740625411,3585,12445
257,841320156043304961,5374,19490
258,841314665196081154,4533,15610
259,841077006473256960,5188,22489
260,840761248237133825,1725,0
261,840728873075638272,15706,0
262,840698636975636481,2,172
263,840696689258311684,950,12110
264,840632337062862849,1725,8861
265,840370681858686976,4453,16197
266,840268004936019968,5595,18984
267,839990271299457024,2228,13234
268,839549326359670784,7584,27078
269,839290600511926273,140,0
270,839239871831150596,6396,26739
271,838952994649550848,3909,19394
272,838921590096166913,2010,10986
273,838916489579200512,33,0
274,838831947270979586,10786,0
275,838561493054533637,1311,10820
276,838476387338051585,4678,22197
277,838201503651401729,9830,0
278,838150277551247360,325,1651
279,838085839343206401,1,138
280,838083903487373313,3063,17407
281,837820167694528512,7701,33634
282,837482249356513284,437,3816
283,837471256429613056,2232,12630
284,837110210464448512,2325,15862
285,836989968035819520,2259,12604
286,836753516572119041,4562,19128
287,836677758902222849,2191,12475
288,836648853927522308,548,0
289,836397794269200385,27027,0
290,836380477523124226,2939,14612
291,836260088725786625,4234,21099
292,836001077879255040,4188,18879
293,835685285446955009,7998,0
294,835574547218894849,3560,17617
295,835536468978302976,1666,0
296,835309094223372289,20578,0
297,835297930240217089,2958,16312
298,835264098648616962,1666,7657
299,835246439529840640,72,2080
300,835172783151792128,5675,25906
301,835152434251116546,2954,22170
302,834931633769889797,1613,10703
303,834786237630337024,5421,21205
304,834574053763584002,2490,13510
305,834477809192075265,10477,0
306,834458053273591808,1652,9534
307,834209720923721728,4672,20375
308,834167344700198914,3611,15687
309,834089966724603904,2103,9942
310,834086379323871233,2181,12942
311,833863086058651648,2375,13327
312,833826103416520705,3722,17919
313,833732339549220864,220,0
314,833722901757046785,3178,20644
315,833479644947025920,2020,14743
316,833124694597443584,4768,20026
317,832998151111966721,2169,13140
318,832769181346996225,39,0
319,832757312314028032,3572,16723
320,832682457690300417,2870,11775
321,832645525019123713,524,2907
322,832636094638288896,2745,15713
323,832397543355072512,2187,11874
324,832369877331693569,3152,17063
325,832273440279240704,2313,11268
326,832215909146226688,6132,0
327,832215726631055365,9200,0
328,832088576586297345,2,62
329,832040443403784192,9485,0
330,832032802820481025,4605,17727
331,831939777352105988,6052,23802
332,831926988323639298,34,334
333,831911600680497154,6413,27395
334,831670449226514432,1794,10354
335,831650051525054464,1894,7073
336,831552930092285952,2295,8908
337,831322785565769729,1536,9216
338,831315979191906304,1115,6496
339,831309418084069378,2433,11672
340,831262627380748289,2017,11816
341,830956169170665475,1481,7916
342,830583320585068544,16558,66321
343,830173239259324417,5622,0
344,830097400375152640,2903,9722
345,829878982036299777,4940,0
346,829861396166877184,1917,12165
347,829501995190984704,10477,31528
348,829449946868879360,1990,10392
349,829141528400556032,7245,24237
350,829011960981237760,16163,52899
351,828801551087042563,3389,0
352,828770345708580865,5798,25447
353,828708714936930305,11056,36273
354,828650029636317184,1329,9459
355,828409743546925057,1157,6316
356,828408677031882754,1278,7636
357,828381636999917570,2196,12522
358,828376505180889089,1057,7336
359,828372645993398273,2902,12506
360,828361771580813312,173,2179
361,828046555563323392,2846,11695
362,828011680017821696,2130,10304
363,827933404142436356,5189,19977
364,827653905312006145,2998,15426
365,827600520311402496,933,7433
366,827324948884643840,3009,15774
367,827199976799354881,2204,10536
368,826958653328592898,4940,21482
369,826848821049180160,10057,36162
370,826615380357632002,3954,0
371,826598799820865537,249,5104
372,826598365270007810,2316,9995
373,826476773533745153,4152,18326
374,826240494070030336,2587,13237
375,826204788643753985,915,4863
376,826115272272650244,3076,15592
377,825876512159186944,1850,10447
378,825829644528148480,2470,12698
379,825535076884762624,17448,56686
380,825147591692263424,4506,18223
381,825120256414846976,1242,0
382,825026590719483904,1242,6276
383,824796380199809024,5467,0
384,824775126675836928,3487,14847
385,824663926340194305,1761,10487
386,824325613288833024,10486,11800
387,824297048279236611,3826,15014
388,824025158776213504,596,4822
389,823939628516474880,2688,10600
390,823719002937630720,11113,0
391,823699002998870016,2504,13960
392,823581115634085888,2607,12991
393,823333489516937216,24,701
394,823322678127919110,3991,15691
395,823269594223824897,9828,0
396,822975315408461824,3421,17289
397,822872901745569793,42952,131262
398,822859134160621569,2262,13228
399,822647212903690241,6377,0
400,822610361945911296,2940,14783
401,822489057087389700,6377,18120
402,822462944365645825,14205,27919
403,822244816520155136,9828,34909
404,822163064745328640,4740,0
405,821886076407029760,2290,11304
406,821813639212650496,3354,0
407,821765923262631936,1651,8401
408,821522889702862852,1753,8040
409,821421320206483457,5553,0
410,821407182352777218,4321,11748
411,821153421864615936,10,256
412,821149554670182400,1968,8626
413,821107785811234820,2129,9593
414,821044531881721856,2273,12656
415,820837357901512704,6701,0
416,820749716845686786,9830,31524
417,820690176645140481,3215,12219
418,820494788566847489,563,0
419,820446719150292993,2559,0
420,820314633777061888,563,3351
421,820078625395449857,6259,19816
422,820013781606658049,1172,0
423,819952236453363712,1172,5326
424,819924195358416896,4869,12922
425,819711362133872643,3097,13368
426,819588359383371776,1982,9658
427,819347104292290561,1202,7218
428,819238181065359361,406,2276
429,819227688460238848,6701,23075
430,819015337530290176,36796,0
431,819015331746349057,18939,0
432,819006400881917954,18939,45355
433,819004803107983360,36796,86991
434,818646164899774465,20936,0
435,818627210458333184,7524,22418
436,818614493328580609,2546,9839
437,818588835076603904,6115,0
438,818536468981415936,2450,10898
439,818307523543449600,8051,0
440,818259473185828864,2258,11027
441,818145370475810820,2567,12282
442,817908911860748288,801,4867
443,817827839487737858,27027,51681
444,817777686764523521,2683,10768
